maxD_in,tOff_in,sdD_in,constant_in
21,1000,40.0,0.007222222222222222
21,1000,40.0,0.0077777777777777776
21,1000,40.0,0.008333333333333333
21,1000,40.0,0.008888888888888889
21,1000,40.0,0.009444444444444445
21,1000,40.0,0.01
21,2000,1.0,0.005
21,2000,1.0,0.005555555555555556
21,2000,1.0,0.006111111111111111
21,2000,1.0,0.006666666666666666
21,2000,1.0,0.007222222222222222
21,2000,1.0,0.0077777777777777776
21,2000,1.0,0.008333333333333333
21,2000,1.0,0.008888888888888889
21,2000,1.0,0.009444444444444445
21,2000,1.0,0.01
21,2000,10.75,0.005
21,2000,10.75,0.005555555555555556
21,2000,10.75,0.006111111111111111
21,2000,10.75,0.006666666666666666
21,2000,10.75,0.007222222222222222
21,2000,10.75,0.0077777777777777776
21,2000,10.75,0.008333333333333333
21,2000,10.75,0.008888888888888889
21,2000,10.75,0.009444444444444445
21,2000,10.75,0.01
21,2000,20.5,0.005
21,2000,20.5,0.005555555555555556
21,2000,20.5,0.006111111111111111
21,2000,20.5,0.006666666666666666
21,2000,20.5,0.007222222222222222
21,2000,20.5,0.0077777777777777776
21,2000,20.5,0.008333333333333333
21,2000,20.5,0.008888888888888889
21,2000,20.5,0.009444444444444445
21,2000,20.5,0.01
21,2000,30.25,0.005
21,2000,30.25,0.005555555555555556
21,2000,30.25,0.006111111111111111
21,2000,30.25,0.006666666666666666
21,2000,30.25,0.007222222222222222
21,2000,30.25,0.0077777777777777776
21,2000,30.25,0.008333333333333333
21,2000,30.25,0.008888888888888889
21,2000,30.25,0.009444444444444445
21,2000,30.25,0.01
21,2000,40.0,0.005
21,2000,40.0,0.005555555555555556
21,2000,40.0,0.006111111111111111
21,2000,40.0,0.006666666666666666
21,2000,40.0,0.007222222222222222
21,2000,40.0,0.0077777777777777776
21,2000,40.0,0.008333333333333333
21,2000,40.0,0.008888888888888889
21,2000,40.0,0.009444444444444445
21,2000,40.0,0.01
21,3000,1.0,0.005
21,3000,1.0,0.005555555555555556
21,3000,1.0,0.006111111111111111
21,3000,1.0,0.006666666666666666
21,3000,1.0,0.007222222222222222
21,3000,1.0,0.0077777777777777776
21,3000,1.0,0.008333333333333333
21,3000,1.0,0.008888888888888889
21,3000,1.0,0.009444444444444445
21,3000,1.0,0.01
21,3000,10.75,0.005
21,3000,10.75,0.005555555555555556
21,3000,10.75,0.006111111111111111
